==========
일반 데이터 보고서
==========

시험 데이타 파일 : C:\Zive Data\Smart Interface\Experiments\Data\박겸손\23_DCIR_FCC_cyc\20230524\HNE_FCC_DCIR3_06_026.wrd
테스트 기간 : 2023-05-24 03:59:46 ~ 2023-05-27 03:12:59
데이터 개수 : 14477
시험자 성명 : 
상품 번호 : 
메모 : 
조건 파일명 : F:\23_DCIR_FCC.cyc
단계 개수 : 24

--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
인덱스         	시험_시간(s)   	사이클_번호    	사이클_시간(s) 	단계_번호      	단계_시간(s)   	전류(A)        	전압(V)        	IR(ohm)       	보조전압1(V)   	보조전압2(V)   	보조전압3(V)   	온도('C)       	OCP(V)         	파워(W)        	부하(Ohm)      	누적_용량(Ah)  	절대값_용량(Ah)	전류_범위      
--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
45            	0:00:22:08.940	1             	0:00:22:08.940	3             	0:00:19:00.000	0.00000E+000  	2.66260E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66260E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
46            	0:00:22:38.940	1             	0:00:22:38.940	3             	0:00:19:30.000	0.00000E+000  	2.66324E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66324E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
47            	0:00:23:08.940	1             	0:00:23:08.940	3             	0:00:20:00.000	0.00000E+000  	2.66419E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66419E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
48            	0:00:23:38.940	1             	0:00:23:38.940	3             	0:00:20:30.000	0.00000E+000  	2.66498E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66498E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
49            	0:00:24:08.940	1             	0:00:24:08.940	3             	0:00:21:00.000	0.00000E+000  	2.66545E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66545E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
50            	0:00:24:38.940	1             	0:00:24:38.940	3             	0:00:21:30.000	0.00000E+000  	2.66625E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66625E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
51            	0:00:25:08.940	1             	0:00:25:08.940	3             	0:00:22:00.000	0.00000E+000  	2.66672E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66672E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
52            	0:00:25:38.940	1             	0:00:25:38.940	3             	0:00:22:30.000	0.00000E+000  	2.66735E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66735E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
53            	0:00:26:08.940	1             	0:00:26:08.940	3             	0:00:23:00.000	0.00000E+000  	2.66815E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66815E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
54            	0:00:26:38.940	1             	0:00:26:38.940	3             	0:00:23:30.000	0.00000E+000  	2.66878E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66878E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
