==========
일반 데이터 보고서
==========

시험 데이타 파일 : C:\Zive Data\Smart Interface\Experiments\Data\박겸손\23_DCIR_FCC_cyc\20230524\HNE_FCC_DCIR3_06_026.wrd
테스트 기간 : 2023-05-24 03:59:46 ~ 2023-05-27 03:12:59
데이터 개수 : 14477
시험자 성명 : 
상품 번호 : 
메모 : 
조건 파일명 : F:\23_DCIR_FCC.cyc
단계 개수 : 24

--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
인덱스         	시험_시간(s)   	사이클_번호    	사이클_시간(s) 	단계_번호      	단계_시간(s)   	전류(A)        	전압(V)        	IR(ohm)       	보조전압1(V)   	보조전압2(V)   	보조전압3(V)   	온도('C)       	OCP(V)         	파워(W)        	부하(Ohm)      	누적_용량(Ah)  	절대값_용량(Ah)	전류_범위      
--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
11195         	2:07:16:11.020	1             	2:07:16:11.020	15            	0:01:28:30.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11196         	2:07:16:41.020	1             	2:07:16:41.020	15            	0:01:29:00.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11197         	2:07:17:11.020	1             	2:07:17:11.020	15            	0:01:29:30.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11198         	2:07:17:41.020	1             	2:07:17:41.020	15            	0:01:30:00.000	0.00000E+000  	3.75735E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75735E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11199         	2:07:18:11.020	1             	2:07:18:11.020	15            	0:01:30:30.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11200         	2:07:18:41.020	1             	2:07:18:41.020	15            	0:01:31:00.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11201         	2:07:19:11.020	1             	2:07:19:11.020	15            	0:01:31:30.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11202         	2:07:19:41.020	1             	2:07:19:41.020	15            	0:01:32:00.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11203         	2:07:20:11.020	1             	2:07:20:11.020	15            	0:01:32:30.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11204         	2:07:20:41.020	1             	2:07:20:41.020	15            	0:01:33:00.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11205         	2:07:21:11.020	1             	2:07:21:11.020	15            	0:01:33:30.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11206         	2:07:21:41.020	1             	2:07:21:41.020	15            	0:01:34:00.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11207         	2:07:22:11.020	1             	2:07:22:11.020	15            	0:01:34:30.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11208         	2:07:22:41.020	1             	2:07:22:41.020	15            	0:01:35:00.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11209         	2:07:23:11.020	1             	2:07:23:11.020	15            	0:01:35:30.000	0.00000E+000  	3.75735E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75735E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11210         	2:07:23:41.020	1             	2:07:23:41.020	15            	0:01:36:00.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11211         	2:07:24:11.020	1             	2:07:24:11.020	15            	0:01:36:30.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11212         	2:07:24:41.020	1             	2:07:24:41.020	15            	0:01:37:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11213         	2:07:25:11.020	1             	2:07:25:11.020	15            	0:01:37:30.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11214         	2:07:25:41.020	1             	2:07:25:41.020	15            	0:01:38:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11215         	2:07:26:11.020	1             	2:07:26:11.020	15            	0:01:38:30.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11216         	2:07:26:41.020	1             	2:07:26:41.020	15            	0:01:39:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11217         	2:07:27:11.020	1             	2:07:27:11.020	15            	0:01:39:30.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11218         	2:07:27:41.020	1             	2:07:27:41.020	15            	0:01:40:00.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11219         	2:07:28:11.020	1             	2:07:28:11.020	15            	0:01:40:30.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11220         	2:07:28:41.020	1             	2:07:28:41.020	15            	0:01:41:00.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11221         	2:07:29:11.020	1             	2:07:29:11.020	15            	0:01:41:30.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11222         	2:07:29:41.020	1             	2:07:29:41.020	15            	0:01:42:00.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11223         	2:07:30:11.020	1             	2:07:30:11.020	15            	0:01:42:30.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11224         	2:07:30:41.020	1             	2:07:30:41.020	15            	0:01:43:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11225         	2:07:31:11.020	1             	2:07:31:11.020	15            	0:01:43:30.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11226         	2:07:31:41.020	1             	2:07:31:41.020	15            	0:01:44:00.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11227         	2:07:32:11.020	1             	2:07:32:11.020	15            	0:01:44:30.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11228         	2:07:32:41.020	1             	2:07:32:41.020	15            	0:01:45:00.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11229         	2:07:33:11.020	1             	2:07:33:11.020	15            	0:01:45:30.000	0.00000E+000  	3.75751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75751E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11230         	2:07:33:41.020	1             	2:07:33:41.020	15            	0:01:46:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11231         	2:07:34:11.020	1             	2:07:34:11.020	15            	0:01:46:30.000	0.00000E+000  	3.75798E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75798E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11232         	2:07:34:41.020	1             	2:07:34:41.020	15            	0:01:47:00.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11233         	2:07:35:11.020	1             	2:07:35:11.020	15            	0:01:47:30.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11234         	2:07:35:41.020	1             	2:07:35:41.020	15            	0:01:48:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11235         	2:07:36:11.020	1             	2:07:36:11.020	15            	0:01:48:30.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11236         	2:07:36:41.020	1             	2:07:36:41.020	15            	0:01:49:00.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11237         	2:07:37:11.020	1             	2:07:37:11.020	15            	0:01:49:30.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11238         	2:07:37:41.020	1             	2:07:37:41.020	15            	0:01:50:00.000	0.00000E+000  	3.75798E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75798E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11239         	2:07:38:11.020	1             	2:07:38:11.020	15            	0:01:50:30.000	0.00000E+000  	3.75798E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75798E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11240         	2:07:38:41.020	1             	2:07:38:41.020	15            	0:01:51:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11241         	2:07:39:11.020	1             	2:07:39:11.020	15            	0:01:51:30.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11242         	2:07:39:41.020	1             	2:07:39:41.020	15            	0:01:52:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11243         	2:07:40:11.020	1             	2:07:40:11.020	15            	0:01:52:30.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11244         	2:07:40:41.020	1             	2:07:40:41.020	15            	0:01:53:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11245         	2:07:41:11.020	1             	2:07:41:11.020	15            	0:01:53:30.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11246         	2:07:41:41.020	1             	2:07:41:41.020	15            	0:01:54:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11247         	2:07:42:11.020	1             	2:07:42:11.020	15            	0:01:54:30.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11248         	2:07:42:41.020	1             	2:07:42:41.020	15            	0:01:55:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11249         	2:07:43:11.020	1             	2:07:43:11.020	15            	0:01:55:30.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11250         	2:07:43:41.020	1             	2:07:43:41.020	15            	0:01:56:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11251         	2:07:44:11.020	1             	2:07:44:11.020	15            	0:01:56:30.000	0.00000E+000  	3.75798E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75798E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11252         	2:07:44:41.020	1             	2:07:44:41.020	15            	0:01:57:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11253         	2:07:45:11.020	1             	2:07:45:11.020	15            	0:01:57:30.000	0.00000E+000  	3.75766E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75766E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11254         	2:07:45:41.020	1             	2:07:45:41.020	15            	0:01:58:00.000	0.00000E+000  	3.75798E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75798E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11255         	2:07:46:11.020	1             	2:07:46:11.020	15            	0:01:58:30.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11256         	2:07:46:41.020	1             	2:07:46:41.020	15            	0:01:59:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11257         	2:07:47:11.020	1             	2:07:47:11.020	15            	0:01:59:30.000	0.00000E+000  	3.75798E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75798E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11258         	2:07:47:41.020	1             	2:07:47:41.020	15            	0:02:00:00.000	0.00000E+000  	3.75782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	0.00000E+000  	0.00000E+000  	1.56304E-003  	0.00000E+000  	101mA         
11259         	2:07:47:41.230	1             	2:07:47:41.230	16            	0:00:00:00.210	-4.77069E-003 	3.69699E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76372E-002 	-7.74937E+002 	1.56277E-003  	1.97390E-003  	10mA          
11260         	2:07:47:41.330	1             	2:07:47:41.330	17            	0:00:00:00.100	-4.77039E-003 	3.69588E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76308E-002 	-7.74754E+002 	1.56263E-003  	1.97404E-003  	10mA          
11261         	2:07:47:41.430	1             	2:07:47:41.430	17            	0:00:00:00.200	-4.77100E-003 	3.69524E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76300E-002 	-7.74522E+002 	1.56250E-003  	1.97417E-003  	10mA          
11262         	2:07:47:41.530	1             	2:07:47:41.530	17            	0:00:00:00.300	-4.77039E-003 	3.69477E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76255E-002 	-7.74522E+002 	1.56237E-003  	1.97430E-003  	10mA          
11263         	2:07:47:41.630	1             	2:07:47:41.630	17            	0:00:00:00.400	-4.77069E-003 	3.69398E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76228E-002 	-7.74306E+002 	1.56224E-003  	1.97443E-003  	10mA          
11264         	2:07:47:41.730	1             	2:07:47:41.730	17            	0:00:00:00.500	-4.77008E-003 	3.69334E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76175E-002 	-7.74273E+002 	1.56210E-003  	1.97457E-003  	10mA          
11265         	2:07:47:41.830	1             	2:07:47:41.830	17            	0:00:00:00.600	-4.77069E-003 	3.69334E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76198E-002 	-7.74173E+002 	1.56197E-003  	1.97470E-003  	10mA          
11266         	2:07:47:41.930	1             	2:07:47:41.930	17            	0:00:00:00.700	-4.77039E-003 	3.69255E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76149E-002 	-7.74057E+002 	1.56184E-003  	1.97483E-003  	10mA          
11267         	2:07:47:42.030	1             	2:07:47:42.030	17            	0:00:00:00.800	-4.77008E-003 	3.69207E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76115E-002 	-7.74007E+002 	1.56171E-003  	1.97496E-003  	10mA          
11268         	2:07:47:42.130	1             	2:07:47:42.130	17            	0:00:00:00.900	-4.77069E-003 	3.69176E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76122E-002 	-7.73841E+002 	1.56157E-003  	1.97510E-003  	10mA          
11269         	2:07:47:42.230	1             	2:07:47:42.230	17            	0:00:00:01.000	-4.77039E-003 	3.69112E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76081E-002 	-7.73758E+002 	1.56144E-003  	1.97523E-003  	10mA          
11270         	2:07:47:42.330	1             	2:07:47:42.330	17            	0:00:00:01.100	-4.77039E-003 	3.69081E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76066E-002 	-7.73692E+002 	1.56131E-003  	1.97536E-003  	10mA          
11271         	2:07:47:42.430	1             	2:07:47:42.430	17            	0:00:00:01.200	-4.77039E-003 	3.69033E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76043E-002 	-7.73592E+002 	1.56118E-003  	1.97549E-003  	10mA          
11272         	2:07:47:42.530	1             	2:07:47:42.530	17            	0:00:00:01.300	-4.77039E-003 	3.69001E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76028E-002 	-7.73525E+002 	1.56104E-003  	1.97563E-003  	10mA          
11273         	2:07:47:42.630	1             	2:07:47:42.630	17            	0:00:00:01.400	-4.77008E-003 	3.68970E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.76002E-002 	-7.73509E+002 	1.56091E-003  	1.97576E-003  	10mA          
11274         	2:07:47:42.730	1             	2:07:47:42.730	17            	0:00:00:01.500	-4.77008E-003 	3.68938E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75986E-002 	-7.73442E+002 	1.56078E-003  	1.97589E-003  	10mA          
11275         	2:07:47:42.830	1             	2:07:47:42.830	17            	0:00:00:01.600	-4.77039E-003 	3.68875E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75967E-002 	-7.73260E+002 	1.56065E-003  	1.97602E-003  	10mA          
11276         	2:07:47:42.930	1             	2:07:47:42.930	17            	0:00:00:01.700	-4.77039E-003 	3.68859E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75960E-002 	-7.73227E+002 	1.56051E-003  	1.97616E-003  	10mA          
11277         	2:07:47:43.030	1             	2:07:47:43.030	17            	0:00:00:01.800	-4.77039E-003 	3.68811E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75937E-002 	-7.73127E+002 	1.56038E-003  	1.97629E-003  	10mA          
11278         	2:07:47:43.130	1             	2:07:47:43.130	17            	0:00:00:01.900	-4.77008E-003 	3.68780E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75911E-002 	-7.73110E+002 	1.56025E-003  	1.97642E-003  	10mA          
11279         	2:07:47:43.230	1             	2:07:47:43.230	17            	0:00:00:02.000	-4.77008E-003 	3.68732E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75888E-002 	-7.73011E+002 	1.56012E-003  	1.97655E-003  	10mA          
11280         	2:07:47:43.330	1             	2:07:47:43.330	17            	0:00:00:02.100	-4.77008E-003 	3.68700E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75873E-002 	-7.72944E+002 	1.55998E-003  	1.97669E-003  	10mA          
11281         	2:07:47:43.430	1             	2:07:47:43.430	17            	0:00:00:02.200	-4.77039E-003 	3.68700E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75884E-002 	-7.72894E+002 	1.55985E-003  	1.97682E-003  	10mA          
11282         	2:07:47:43.530	1             	2:07:47:43.530	17            	0:00:00:02.300	-4.77008E-003 	3.68653E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75850E-002 	-7.72844E+002 	1.55972E-003  	1.97695E-003  	10mA          
11283         	2:07:47:43.630	1             	2:07:47:43.630	17            	0:00:00:02.400	-4.77039E-003 	3.68621E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75847E-002 	-7.72728E+002 	1.55959E-003  	1.97708E-003  	10mA          
11284         	2:07:47:43.730	1             	2:07:47:43.730	17            	0:00:00:02.500	-4.77039E-003 	3.68574E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75824E-002 	-7.72629E+002 	1.55945E-003  	1.97722E-003  	10mA          
11285         	2:07:47:43.830	1             	2:07:47:43.830	17            	0:00:00:02.600	-4.77039E-003 	3.68574E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75824E-002 	-7.72629E+002 	1.55932E-003  	1.97735E-003  	10mA          
11286         	2:07:47:43.930	1             	2:07:47:43.930	17            	0:00:00:02.700	-4.77069E-003 	3.68510E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75805E-002 	-7.72446E+002 	1.55919E-003  	1.97748E-003  	10mA          
11287         	2:07:47:44.030	1             	2:07:47:44.030	17            	0:00:00:02.800	-4.77039E-003 	3.68510E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75794E-002 	-7.72496E+002 	1.55906E-003  	1.97761E-003  	10mA          
11288         	2:07:47:44.130	1             	2:07:47:44.130	17            	0:00:00:02.900	-4.77008E-003 	3.68479E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.75782E+000  	-1.75767E-002 	-7.72479E+002 	1.55892E-003  	1.97775E-003  	10mA          
